Consecutivo,Year,% of total final energy consumption
1,1990,14.41330169
2,1991,13.19551185
3,1992,13.42709155
4,1993,13.30396934
5,1994,11.86310293
6,1995,13.26183323
7,1996,13.06472384
8,1997,12.69977739
9,1998,12.23845337
10,1999,12.74846132
11,2000,12.16735994
12,2001,11.34388488
13,2002,10.68278055
14,2003,10.16903862
15,2004,10.21329275
16,2005,10.30575562
17,2006,9.824107412
18,2007,9.456579741
19,2008,9.769617777
20,2009,9.168405481
21,2010,9.359977543
22,2011,9.066472235
23,2012,8.964824208
24,2013,9.231363457
25,2014,9.758462423
26,2015,9.215213455
